PB15660@wilsonmoraes@1D8AA8E2-408D-4946-87FF-52849F80DEC5@bezos em 4.05.CRETA.1.82
13/11/2024 13:41:44: Acessou https://jefvirtual.jfpb.jus.br/cretapb/login.wsp
13/11/2024 13:43:51: Logou https://jefvirtual.jfpb.jus.br/cretapb/consulta/processo/pesquisar_geral.wsp?consulta.processo.tp_link=consulta
13/11/2024 13:44:13: Total: 2361
13/11/2024 13:46:37:  0518468-21.2017.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:37:  0515368-58.2017.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:37:  0515370-28.2017.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:38:  0517761-53.2017.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:38:  0517762-38.2017.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:39:  0517000-22.2017.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:39:  0517901-87.2017.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:39:  0517521-64.2017.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:40:  0515331-31.2017.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:51:  0517690-51.2017.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:51:  0515604-10.2017.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:51:  0515369-43.2017.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:51:  0515375-11.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:51:  0502464-98.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:51:  0500210-84.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:51:  0504845-79.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:52:  0500960-86.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:52:  0513475-95.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:52:  0511293-34.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
